url,score,rank,title,slug
/nhsuk/conditions/attention-deficit-hyperactivity-disorder-adhd/,0.06530936012691697,1,Attention deficit hyperactivity disorder (ADHD),attention-deficit-hyperactivity-disorder-adhd
/nhsuk/conditions/auditory-processing-disorder/,0.060142679900744414,2,Auditory processing disorder (APD),auditory-processing-disorder
/nhsuk/mental-health/children-and-young-adults/advice-for-parents/anxiety-disorders-in-children/,0.059862012987012984,3,Anxiety disorders in children,anxiety-disorders-in-children
/nhsuk/mental-health/conditions/personality-disorder/,0.059043020193151885,4,Personality disorders,personality-disorder
/nhsuk/conditions/dementia/symptoms-and-diagnosis/symptoms/,0.05854427496218541,5,Symptoms of dementia,symptoms
/nhsuk/conditions/addisons-disease/,0.05847204438753734,6,Addison's disease,addisons-disease
/nhsuk/conditions/overactive-thyroid-hyperthyroidism/,0.05828737472573089,7,Overactive thyroid (hyperthyroidism),overactive-thyroid-hyperthyroidism
/nhsuk/mental-health/feelings-symptoms-behaviours/feelings-and-symptoms/anxiety-disorder-signs/,0.053883551900855434,8,Signs of an anxiety disorder,anxiety-disorder-signs
/nhsuk/mental-health/conditions/body-dysmorphia/,0.05380011293054771,9,Body dysmorphic disorder (BDD),body-dysmorphia
/nhsuk/conditions/developmental-coordination-disorder-dyspraxia-in-adults/,0.05346711259754738,10,Dyspraxia (developmental co-ordination disorder) in adults,developmental-coordination-disorder-dyspraxia-in-adults
/nhsuk/conditions/developmental-coordination-disorder-dyspraxia/,0.053213783403656824,11,Developmental co-ordination disorder (dyspraxia) in children,developmental-coordination-disorder-dyspraxia
/nhsuk/mental-health/conditions/panic-disorder/,0.05286377708978328,12,Panic disorder,panic-disorder
/nhsuk/conditions/baby/babys-development/behaviour/dealing-with-child-behaviour-problems/,0.04639423076923077,13,Dealing with child behaviour problems,dealing-with-child-behaviour-problems
/nhsuk/conditions/tourettes-syndrome/,0.046031746031746035,14,Tourette's syndrome,tourettes-syndrome
/nhsuk/medicines/methylphenidate-children/,0.04511453950444133,15,Methylphenidate for children,methylphenidate-children
/nhsuk/medicines/methylphenidate-adults/,0.044444444444444446,16,Methylphenidate for adults,methylphenidate-adults
/nhsuk/conditions/chronic-traumatic-encephalopathy/,0.043790702896923425,17,Chronic traumatic encephalopathy,chronic-traumatic-encephalopathy
/nhsuk/mental-health/conditions/dissociative-disorders/,0.04316239316239316,18,Dissociative disorders,dissociative-disorders
/nhsuk/conditions/parkinsons-disease/,0.04124116260801257,19,Parkinson's disease,parkinsons-disease
/nhsuk/conditions/frontotemporal-dementia/,0.02531645569620253,20,Frontotemporal dementia,frontotemporal-dementia
