url,score,rank,title,slug
/nhsuk/medicines/amitriptyline-for-depression/,0.06557377049180328,1,Amitriptyline for depression,amitriptyline-for-depression
/nhsuk/medicines/nortriptyline/,0.06400409626216078,2,Nortriptyline,nortriptyline
/nhsuk/mental-health/talking-therapies-medicine-treatments/medicines-and-psychiatry/stopping-or-coming-off-antidepressants/,0.061208397337429596,3,Stopping or coming off antidepressants,stopping-or-coming-off-antidepressants
/nhsuk/medicines/promethazine/,0.05938627582463199,4,Promethazine (Phenergan),promethazine
/nhsuk/medicines/bendroflumethiazide/,0.05879079996575996,5,Bendroflumethiazide,bendroflumethiazide
/nhsuk/medicines/loratadine/,0.05660455486542443,6,Loratadine (Clarityn),loratadine
/nhsuk/medicines/acrivastine/,0.05498390615060785,7,Acrivastine,acrivastine
/nhsuk/medicines/buscopan-hyoscine-butylbromide/,0.04617537313432836,8,Buscopan (hyoscine butylbromide),buscopan-hyoscine-butylbromide
/nhsuk/medicines/isosorbide-mononitrate-dinitrate/,0.045054945054945054,9,Isosorbide mononitrate and isosorbide dinitrate,isosorbide-mononitrate-dinitrate
/nhsuk/conditions/antihistamines/,0.04503676470588235,10,Antihistamines,antihistamines
/nhsuk/medicines/co-codaprin/,0.04455662862159789,11,Co-codaprin (aspirin and codeine),co-codaprin
/nhsuk/conditions/stop-smoking-treatments/,0.043722943722943726,12,Stop smoking treatments,stop-smoking-treatments
/nhsuk/medicines/chlorphenamine-including-piriton/,0.04217854217854218,13,Chlorphenamine (Piriton),chlorphenamine-including-piriton
/nhsuk/conditions/beta-blockers/,0.041700404858299595,14,Beta blockers,beta-blockers
/nhsuk/medicines/diphenhydramine/,0.040625,15,Diphenhydramine,diphenhydramine
/nhsuk/medicines/brinzolamide/,0.04043600562587905,16,Brinzolamide,brinzolamide
/nhsuk/medicines/champix-varenicline/,0.039897260273972605,17,Champix (varenicline),champix-varenicline
/nhsuk/medicines/olanzapine/,0.03862803862803863,18,Olanzapine,olanzapine
/nhsuk/medicines/cetirizine/,0.02786377708978328,19,Cetirizine,cetirizine
/nhsuk/medicines/trimethoprim/,0.027046783625730993,20,Trimethoprim,trimethoprim
/nhsuk/medicines/pregabalin/,0.026875901875901876,21,Pregabalin,pregabalin
/nhsuk/medicines/methadone/,0.02666666666666667,22,Methadone,methadone
/nhsuk/medicines/fexofenadine/,0.02531645569620253,23,Fexofenadine,fexofenadine
