url,score,rank,title,slug
/nhsuk/conditions/bowel-cancer-screening/,0.06505334374186833,1,Bowel cancer screening,bowel-cancer-screening
/nhsuk/conditions/bladder-cancer/,0.061829710526131204,2,Bladder cancer,bladder-cancer
/nhsuk/conditions/bowens-disease/,0.0601481288981289,3,Bowen's disease,bowens-disease
/nhsuk/conditions/crohns-disease/,0.05808080808080808,4,Crohn's disease,crohns-disease
/nhsuk/conditions/diverticular-disease-and-diverticulitis/,0.05695940347970174,5,Diverticular disease and diverticulitis,diverticular-disease-and-diverticulitis
/nhsuk/conditions/inflammatory-bowel-disease/,0.05693774131274131,6,Inflammatory bowel disease,inflammatory-bowel-disease
/nhsuk/conditions/cancer/,0.05628766658178423,7,Cancer,cancer
/nhsuk/conditions/bowel-incontinence/,0.055890527109143155,8,Bowel incontinence,bowel-incontinence
/nhsuk/conditions/carcinoid-syndrome/,0.05506265664160401,9,Neuroendocrine tumours and carcinoid syndrome,carcinoid-syndrome
/nhsuk/live-well/eat-well/digestive-health/five-lifestyle-tips-for-a-healthy-tummy/,0.05305555555555556,10,5 lifestyle tips for a healthy tummy,five-lifestyle-tips-for-a-healthy-tummy
/nhsuk/conditions/vulval-cancer/,0.0515005265005265,11,Vulval cancer,vulval-cancer
/nhsuk/conditions/stomach-cancer/,0.047371031746031744,12,Stomach cancer,stomach-cancer
/nhsuk/conditions/womb-cancer/,0.04689826302729529,13,Womb (uterus) cancer,womb-cancer
/nhsuk/conditions/bone-cancer/,0.04500891265597148,14,Bone cancer,bone-cancer
/nhsuk/conditions/irritable-bowel-syndrome-ibs/,0.04434349989184512,15,Irritable bowel syndrome (IBS),irritable-bowel-syndrome-ibs
/nhsuk/conditions/lung-cancer/,0.04232263340830096,16,Lung cancer,lung-cancer
/nhsuk/conditions/bowel-polyps/,0.04170989831915335,17,Bowel polyps,bowel-polyps
/nhsuk/conditions/interstitial-cystitis/,0.03933965577801194,18,Bladder pain syndrome (interstitial cystitis),interstitial-cystitis
/nhsuk/conditions/coeliac-disease/,0.02761904761904762,19,Coeliac disease,coeliac-disease
/nhsuk/conditions/mucositis/,0.02631578947368421,20,Mucositis,mucositis
/nhsuk/conditions/ovarian-cancer/,0.025974025974025976,21,Ovarian cancer,ovarian-cancer
