url,score,rank,title,slug
/nhsuk/conditions/pneumonia/,0.06504494976203067,1,Pneumonia,pneumonia
/nhsuk/conditions/acute-respiratory-distress-syndrome/,0.06308991554893194,2,Acute respiratory distress syndrome (ARDS),acute-respiratory-distress-syndrome
/nhsuk/conditions/pulmonary-embolism/,0.060726753684500166,3,Pulmonary embolism,pulmonary-embolism
/nhsuk/vaccinations/pneumococcal-vaccine/,0.06068566087966241,4,Pneumococcal vaccine,pneumococcal-vaccine
/nhsuk/conditions/respiratory-tract-infection/,0.058563266443701224,5,Respiratory tract infections (RTIs),respiratory-tract-infection
/nhsuk/conditions/hib/,0.05740925740925741,6,Haemophilus influenzae type b (Hib),hib
/nhsuk/conditions/legionnaires-disease/,0.05343888664784187,7,Legionnaires' disease,legionnaires-disease
/nhsuk/conditions/middle-east-respiratory-syndrome-mers/,0.04563492063492063,8,Middle East respiratory syndrome (MERS),middle-east-respiratory-syndrome-mers
/nhsuk/conditions/chest-infection/,0.045284780578898225,9,Chest infection,chest-infection
/nhsuk/conditions/whooping-cough/,0.044370122630992194,10,Whooping cough,whooping-cough
/nhsuk/conditions/pleurisy/,0.04379401408450704,11,Pleurisy,pleurisy
/nhsuk/conditions/diphtheria/,0.04352629253203712,12,Diphtheria,diphtheria
/nhsuk/conditions/pulmonary-hypertension/,0.04194078947368421,13,Pulmonary hypertension,pulmonary-hypertension
/nhsuk/conditions/bird-flu/,0.041025641025641026,14,Bird flu,bird-flu
/nhsuk/conditions/coughing-up-blood/,0.04076479076479077,15,Coughing up blood (blood in phlegm),coughing-up-blood
/nhsuk/conditions/empyema/,0.039527027027027026,16,Empyema,empyema
/nhsuk/conditions/neonatal-respiratory-distress-syndrome/,0.03948753948753949,17,Newborn respiratory distress syndrome,neonatal-respiratory-distress-syndrome
/nhsuk/conditions/epiglottitis/,0.03916666666666667,18,Epiglottitis,epiglottitis
/nhsuk/conditions/chronic-obstructive-pulmonary-disease-copd/,0.038649789029535864,19,Chronic obstructive pulmonary disease (COPD),chronic-obstructive-pulmonary-disease-copd
/nhsuk/conditions/brain-abscess/,0.02857142857142857,20,Brain abscess,brain-abscess
/nhsuk/conditions/peritonitis/,0.02531645569620253,21,Peritonitis,peritonitis
