url,score,rank,title,slug
/nhsuk/conditions/psoriasis/,0.06557377049180328,1,Psoriasis,psoriasis
/nhsuk/conditions/psoriatic-arthritis/,0.06426011264720942,2,Psoriatic arthritis,psoriatic-arthritis
/nhsuk/conditions/pityriasis-versicolor/,0.06134876214167259,3,Pityriasis versicolor,pityriasis-versicolor
/nhsuk/conditions/rosacea/,0.05988527601430827,4,Rosacea,rosacea
/nhsuk/conditions/pityriasis-rosea/,0.056997549019607845,5,Pityriasis rosea,pityriasis-rosea
/nhsuk/conditions/keratosis-pilaris/,0.055223347230494345,6,Keratosis pilaris,keratosis-pilaris
/nhsuk/conditions/actinic-keratoses/,0.055112956218322594,7,Actinic keratoses (solar keratoses),actinic-keratoses
/nhsuk/conditions/atopic-eczema/,0.052783137179239825,8,Atopic eczema,atopic-eczema
/nhsuk/conditions/polymorphic-light-eruption/,0.05238376053138043,9,Polymorphic light eruption,polymorphic-light-eruption
/nhsuk/conditions/pompholyx/,0.04713064713064713,10,Pompholyx (dyshidrotic eczema),pompholyx
/nhsuk/conditions/topical-steroids/,0.044407894736842105,11,Topical corticosteroids,topical-steroids
/nhsuk/conditions/bullous-pemphigoid/,0.04433713784021071,12,Bullous pemphigoid,bullous-pemphigoid
/nhsuk/conditions/henoch-schonlein-purpura-hsp/,0.04413702239789196,13,Henoch-Schönlein purpura (HSP),henoch-schonlein-purpura-hsp
/nhsuk/conditions/bowens-disease/,0.044001660440016604,14,Bowen's disease,bowens-disease
/nhsuk/conditions/itchy-skin/,0.04349680170575693,15,Itchy skin,itchy-skin
/nhsuk/conditions/acanthosis-nigricans/,0.04206349206349207,16,Acanthosis nigricans,acanthosis-nigricans
/nhsuk/conditions/pagets-disease-nipple/,0.04036036036036036,17,Paget's disease of the nipple,pagets-disease-nipple
/nhsuk/conditions/scabies/,0.0402046783625731,18,Scabies,scabies
/nhsuk/conditions/hidradenitis-suppurativa/,0.03882996920971604,19,Hidradenitis suppurativa (HS),hidradenitis-suppurativa
/nhsuk/conditions/vitiligo/,0.03847402597402597,20,Vitiligo,vitiligo
/nhsuk/conditions/lichen-planus/,0.02813852813852814,21,Lichen planus,lichen-planus
