url,score,rank,title,slug
/nhsuk/conditions/scabies/,0.06306484750331093,1,Scabies,scabies
/nhsuk/conditions/rashes-babies-and-children/,0.061531568789633305,2,Rashes in babies and children,rashes-babies-and-children
/nhsuk/conditions/hives/,0.05994281902859384,3,Hives,hives
/nhsuk/conditions/mrsa/,0.059552125506072875,4,MRSA,mrsa
/nhsuk/conditions/impetigo/,0.05726873509447808,5,Impetigo,impetigo
/nhsuk/conditions/atopic-eczema/,0.05697594106135605,6,Atopic eczema,atopic-eczema
/nhsuk/conditions/lichen-sclerosus/,0.05539123630672926,7,Lichen sclerosus,lichen-sclerosus
/nhsuk/conditions/heat-rash-prickly-heat/,0.05401124696899345,8,Heat rash (prickly heat),heat-rash-prickly-heat
/nhsuk/conditions/psoriasis/,0.04865990111891751,9,Psoriasis,psoriasis
/nhsuk/conditions/schistosomiasis/,0.047379032258064516,10,Schistosomiasis (bilharzia),schistosomiasis
/nhsuk/conditions/syphilis/,0.045454545454545456,11,Syphilis,syphilis
/nhsuk/conditions/molluscum-contagiosum/,0.04292929292929293,12,Molluscum contagiosum,molluscum-contagiosum
/nhsuk/conditions/pompholyx/,0.04274509803921569,13,Pompholyx (dyshidrotic eczema),pompholyx
/nhsuk/conditions/acne/,0.0417329093799682,14,Acne,acne
/nhsuk/conditions/pyoderma-gangrenosum/,0.04080854309687262,15,Pyoderma gangrenosum,pyoderma-gangrenosum
/nhsuk/conditions/contact-dermatitis/,0.040217773094485425,16,Contact dermatitis,contact-dermatitis
/nhsuk/conditions/discoid-eczema/,0.04005853301627949,17,Discoid eczema,discoid-eczema
/nhsuk/conditions/bullous-pemphigoid/,0.039653679653679656,18,Bullous pemphigoid,bullous-pemphigoid
/nhsuk/conditions/varicose-eczema/,0.03882996920971604,19,Varicose eczema,varicose-eczema
/nhsuk/conditions/trichomoniasis/,0.0375,20,Trichomoniasis,trichomoniasis
