url,score,rank,title,slug
/nhsuk/conditions/endometriosis/,0.06557377049180328,1,Endometriosis,endometriosis
/nhsuk/conditions/ovarian-cyst/,0.06309297912713473,2,Ovarian cyst,ovarian-cyst
/nhsuk/conditions/polycystic-ovary-syndrome-pcos/,0.05926251097453907,3,Polycystic ovary syndrome,polycystic-ovary-syndrome-pcos
/nhsuk/conditions/pelvic-inflammatory-disease-pid/,0.059103260869565216,4,Pelvic inflammatory disease,pelvic-inflammatory-disease-pid
/nhsuk/conditions/pelvic-organ-prolapse/,0.057777777777777775,5,Pelvic organ prolapse,pelvic-organ-prolapse
/nhsuk/conditions/post-menopausal-bleeding/,0.056850147040020456,6,Postmenopausal bleeding,post-menopausal-bleeding
/nhsuk/conditions/pre-menstrual-syndrome/,0.055165555165555165,7,PMS (premenstrual syndrome),pre-menstrual-syndrome
/nhsuk/conditions/adenomyosis/,0.04664224664224664,8,Adenomyosis,adenomyosis
/nhsuk/conditions/period-pain/,0.04583053878828527,9,Period pain,period-pain
/nhsuk/conditions/androgen-insensitivity-syndrome/,0.044298046342571555,10,Androgen insensitivity syndrome,androgen-insensitivity-syndrome
/nhsuk/conditions/womb-cancer/,0.04354937640564302,11,Womb (uterus) cancer,womb-cancer
/nhsuk/conditions/heavy-periods/,0.04316239316239316,12,Heavy periods,heavy-periods
/nhsuk/conditions/ovulation-pain/,0.04254877542548775,13,Ovulation pain,ovulation-pain
/nhsuk/conditions/hysterectomy/,0.0406015037593985,14,Hysterectomy,hysterectomy
/nhsuk/conditions/ectopic-pregnancy/,0.04013377926421405,15,Ectopic pregnancy,ectopic-pregnancy
/nhsuk/conditions/molar-pregnancy/,0.03913192071086808,16,Molar pregnancy,molar-pregnancy
/nhsuk/conditions/fibroids/,0.03813696851671535,17,Fibroids,fibroids
/nhsuk/conditions/persistent-trophoblastic-disease-choriocarcinoma/,0.037987012987012986,18,Persistent trophoblastic disease and choriocarcinoma,persistent-trophoblastic-disease-choriocarcinoma
/nhsuk/contraception/methods-of-contraception/progestogen-only-pill/what-is-it/,0.03125,19,What is the progestogen-only pill?,what-is-it
/nhsuk/conditions/hysteroscopy/,0.028370221327967807,20,Hysteroscopy,hysteroscopy
/nhsuk/conditions/epididymitis/,0.02758751902587519,21,Epididymitis,epididymitis
/nhsuk/conditions/vulvodynia/,0.02666666666666667,22,Vulvodynia (vulval pain),vulvodynia
/nhsuk/conditions/peritonitis/,0.026013513513513515,23,Peritonitis,peritonitis
